2018-04-27 12:16:10  INFO XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-04-27 12:16:10  INFO AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/content/list/{categoryId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ContentController.getContent(java.lang.Long)
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/itemcat/all],methods=[],params=[],headers=[],consumes=[],produces=[application/json;charset=utf-8],custom=[]}" onto public java.lang.String com.hpetshop.rest.controller.ItemCatController.getCatList(java.lang.String)
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/info/itemBaseInfo/{itemId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ItemController.getItem(long)
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/info/itemDescInfo/{itemId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ItemDescController.getItemDesc(long)
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/info/itemParamItemInfo/{itemId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.ItemParamItemController.getItemParamItem(java.lang.Long)
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/redis/cache/sync/content/{contentId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.RedisServiceController.hDelRedisContent(java.lang.Long)
2018-04-27 12:16:10  INFO RequestMappingHandlerMapping.registerHandlerMethod(220) | Mapped "{[/redis/cache/sync/itemCat/{parentId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.hpetshop.utils.Result com.hpetshop.rest.controller.RedisServiceController.hDelRedisItemCat(java.lang.Long)
2018-04-27 12:16:11  INFO RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'hpetshop-rest-servlet': startup date [Fri Apr 27 12:16:10 CST 2018]; parent: Root WebApplicationContext
